date,fam,magnitude
2011-05-13T18:02:57.550000Z,02,2.066
2011-05-13T18:02:57.550000Z,02,2.535
2011-05-14T22:44:24.250000Z,02,1.397
2011-05-14T22:44:24.250000Z,02,1.608
2011-05-14T22:44:24.250000Z,02,2.077
2011-05-22T07:51:40.425000Z,05,1.376
2011-05-23T00:49:55.925000Z,02,1.439
2011-05-27T22:21:18.325000Z,01,2.171
2011-05-27T22:21:18.325000Z,01,1.747
2011-06-20T08:36:32.950000Z,02,0.902
2011-06-20T08:36:32.950000Z,02,1.114
2011-06-20T08:36:32.950000Z,02,1.583
2011-07-14T21:31:22.975000Z,14,1.036
2011-07-15T04:13:27.250000Z,14,2.085
2012-01-14T01:57:53.625000Z,02,1.5
2012-01-14T01:57:53.625000Z,02,2.18
2012-01-21T17:09:49.400000Z,03,1.601
2012-02-09T08:28:56.975000Z,02,1.044
2012-02-09T08:28:56.975000Z,02,1.513
2012-04-25T09:49:28.725000Z,04,2.829
2012-05-11T00:24:37.500000Z,09,1.826
2012-05-30T14:05:57.400000Z,08,1.978
2012-06-08T11:32:32.425000Z,02,1.814
2012-06-08T11:32:32.425000Z,02,2.283
2012-10-04T17:36:21.600000Z,12,1.527
2012-10-24T16:06:25.300000Z,02,1.32
2012-10-29T11:49:05.950000Z,03,1.678
2012-11-05T14:13:40.175000Z,13,2.387
2012-11-16T07:35:15.875000Z,02,2.434
2012-11-16T07:35:15.875000Z,02,2.646
2012-11-16T07:35:15.875000Z,02,3.115
2012-11-16T08:57:42.625000Z,02,1.992
2012-11-16T09:14:13.550000Z,02,1.755
2012-11-16T11:59:50.075000Z,02,1.891
2012-11-16T14:35:27.675000Z,02,2.234
2012-11-16T16:34:15.500000Z,02,1.382
2012-11-16T19:33:26.325000Z,02,2.388
2012-11-16T19:33:26.325000Z,02,2.857
2012-11-16T19:34:35.250000Z,02,1.533
2012-11-16T19:52:13.600000Z,02,1.936
2012-11-17T08:53:45.675000Z,02,0.918
2012-11-17T08:53:45.675000Z,02,1.599
2012-11-18T00:56:38.175000Z,02,2.079
2012-11-18T00:56:38.175000Z,02,2.29
2012-11-18T00:56:38.175000Z,02,2.759
2012-11-18T08:31:04.450000Z,02,1.108
2012-11-18T08:31:04.450000Z,02,1.577
2012-11-18T08:42:36.800000Z,02,0.874
2012-11-18T08:42:36.800000Z,02,1.343
2012-12-07T20:09:02.850000Z,01,3.221
2013-01-05T22:55:06.550000Z,03,2.106
2013-01-05T23:17:23.900000Z,03,3.652
2013-01-10T00:00:21.775000Z,08,1.159
2013-01-12T16:52:20.850000Z,02,2.441
2013-01-12T23:00:39.500000Z,02,2.251
2013-01-13T05:22:17.375000Z,02,1.838
2013-01-13T06:35:15.050000Z,02,1.168
2013-02-02T05:00:53.650000Z,02,1.04
2013-02-02T05:00:53.650000Z,02,1.251
2013-02-02T05:00:53.650000Z,02,1.72
2013-02-03T15:41:14.775000Z,02,1.949
2013-02-05T16:48:15.250000Z,14,1.924
2013-02-06T00:10:08.650000Z,14,1.147
2013-02-06T02:30:24.900000Z,14,2.325
2013-02-06T09:23:02.275000Z,17,2.073
2013-02-19T11:53:55.125000Z,05,3.745
2013-02-19T11:53:55.125000Z,05,3.85
2013-02-19T11:55:30.025000Z,05,2.184
2013-02-19T11:55:30.025000Z,05,2.288
2013-02-19T12:00:19.800000Z,05,3.071
2013-02-19T12:00:19.800000Z,05,3.175
2013-02-19T18:12:21.500000Z,07,2.083
2013-02-25T18:12:19.450000Z,07,1.827
2013-04-09T09:43:03.800000Z,01,3.08
2013-04-09T09:43:03.800000Z,01,2.655
2013-04-09T09:43:03.800000Z,11,2.736
2013-04-09T11:56:04.550000Z,01,2.683
2013-04-09T11:56:04.550000Z,01,2.259
2013-04-09T11:56:04.550000Z,11,2.34
2013-04-25T11:02:41.100000Z,01,2.085
2013-04-25T11:02:41.100000Z,01,1.66
2013-04-25T11:02:41.100000Z,11,1.741
2013-05-04T20:56:41.625000Z,02,2.425
2013-05-09T06:45:57.250000Z,01,2.117
2013-06-03T17:29:52.350000Z,02,1.517
2013-06-03T17:29:52.350000Z,02,2.198
2013-07-15T02:43:22.450000Z,02,1.198
2013-07-19T05:31:10.525000Z,05,2.279
2013-07-19T05:31:10.525000Z,05,2.383
2013-08-17T08:42:01.125000Z,12,2.159
2013-09-15T09:16:56.025000Z,02,2.001
2013-10-06T08:28:32.200000Z,02,0.999
2013-11-09T16:17:59.875000Z,01,1.739
2013-11-23T00:24:50.675000Z,01,1.15
2013-12-09T01:21:16.075000Z,03,1.385
2013-12-11T23:13:53.200000Z,02,1.018
2013-12-11T23:13:53.200000Z,02,1.23
2013-12-11T23:13:53.200000Z,02,1.699
2013-12-15T18:20:51.525000Z,02,1.445
2013-12-15T18:22:36.950000Z,02,1.505
2014-01-06T08:08:49.650000Z,02,1.184
2014-01-06T08:08:49.650000Z,02,1.395
2014-01-06T08:08:49.650000Z,02,1.864
2014-01-25T18:21:07.450000Z,02,1.074
2014-01-25T21:44:10.700000Z,02,1.945
2014-01-26T01:33:11.925000Z,08,1.752
2014-01-31T16:18:42.000000Z,07,2.617
2014-01-31T16:18:42.475000Z,06,3.078
2014-02-08T01:39:19.750000Z,10,1.12
2014-02-08T17:07:00.375000Z,10,1.573
2014-02-13T23:27:13.775000Z,01,1.421
2014-02-14T10:20:06.875000Z,01,1.955
2014-03-03T07:54:26.125000Z,02,2.337
2014-03-03T07:54:26.125000Z,02,3.017
2014-03-03T08:17:58.875000Z,02,1.31
2014-03-03T08:17:58.875000Z,02,1.99
2014-03-03T08:19:14.325000Z,02,0.983
2014-03-03T08:19:14.325000Z,02,1.664
2014-03-03T22:32:46.150000Z,02,2.774
2014-03-03T22:33:18.125000Z,02,2.77
2014-03-04T21:04:34.975000Z,02,2.388
2014-03-05T09:42:54.075000Z,02,2.039
2014-03-05T15:13:14.075000Z,02,1.84
2014-03-07T05:48:31.650000Z,02,1.369
2014-03-07T05:48:31.650000Z,02,1.838
2014-03-07T17:51:40.575000Z,02,1.5
2014-03-07T17:51:40.575000Z,02,1.969
2014-04-03T07:00:40.600000Z,01,1.671
2014-04-03T07:00:40.600000Z,11,1.752
2014-04-14T08:20:29.150000Z,12,1.645
2014-04-30T14:28:53.300000Z,02,1.819
2014-05-02T05:17:01.375000Z,02,1.628
2014-05-23T07:22:20.475000Z,02,1.853
2014-06-15T15:20:26.200000Z,14,1.698
2014-06-16T21:23:40.750000Z,14,1.045
2014-07-04T16:11:03.050000Z,01,2.287
2014-07-12T03:38:51.350000Z,05,1.921
2014-08-26T08:08:49.750000Z,02,1.568
2014-08-26T20:50:39.050000Z,01,2.93
2014-08-26T20:50:39.050000Z,01,2.505
2014-08-26T20:50:39.050000Z,11,2.586
2014-08-27T05:43:19.050000Z,01,1.904
2014-08-27T05:43:19.050000Z,11,1.985
2014-09-27T01:16:38.350000Z,17,2.025
2014-11-26T07:02:27.575000Z,07,1.951
2014-11-26T07:02:28.025000Z,06,2.401
2014-11-30T04:44:32.375000Z,01,2.114
2014-11-30T04:44:32.375000Z,01,1.69
2014-12-05T10:30:46.675000Z,02,2.163
2014-12-05T11:07:03.000000Z,02,1.078
2014-12-05T11:07:03.000000Z,02,1.547
2014-12-11T16:25:15.325000Z,02,2.3
2014-12-12T07:33:47.600000Z,02,1.121
2014-12-27T11:57:52.700000Z,05,2.682
2014-12-27T11:57:52.700000Z,05,2.786
2015-02-12T03:47:23.475000Z,02,2.287
2015-03-15T02:53:11.075000Z,02,1.5
2015-03-18T22:58:33.475000Z,11,1.064
2015-05-23T05:12:54.325000Z,09,1.783
2015-06-07T13:58:48.025000Z,08,2.248
2015-06-29T05:15:13.475000Z,12,3.101
2015-07-07T09:44:45.375000Z,07,1.098
2015-08-21T20:19:10.650000Z,01,3.019
2015-08-21T20:19:10.650000Z,01,2.595
2015-08-21T20:19:10.650000Z,11,2.675
2015-09-20T03:30:33.625000Z,10,1.605
2015-09-28T12:43:28.000000Z,17,1.946
2015-10-01T03:38:53.200000Z,01,1.967
2015-10-01T03:38:53.200000Z,01,1.543
2015-10-07T14:26:29.650000Z,16,2.306
2015-12-03T00:42:25.700000Z,10,1.987
2015-12-03T01:15:57.575000Z,10,1.185
2015-12-05T02:02:59.475000Z,02,1.44
2016-02-08T12:43:56.500000Z,06,3.25640372446674
2016-03-17T19:56:35.125000Z,05,3.86
2016-03-17T23:19:38.625000Z,05,3.156
2016-03-19T10:55:12.600000Z,04,2.744
